table_name	table_rows	size_mb	engine	table_collation
subjects	2573	4.92	InnoDB	utf8mb4_unicode_ci
teacher_classes	1096	0.33	InnoDB	utf8mb4_unicode_ci
lesson_time_table	73	0.11	InnoDB	utf8mb4_unicode_ci
predefined_subjects	67	0.08	InnoDB	utf8mb4_unicode_ci
virtual_classroom_notifications	55	0.16	InnoDB	utf8mb4_unicode_ci
student_subjects	46	0.11	InnoDB	utf8mb4_unicode_ci
class_timing	39	0.08	InnoDB	utf8mb4_unicode_ci
virtual_classroom_participants	36	0.13	InnoDB	utf8mb4_unicode_ci
syllabus	30	0.02	InnoDB	utf8mb4_unicode_ci
syllabus_tracker	10	0.13	InnoDB	utf8mb4_unicode_ci
virtual_classrooms	6	0.16	InnoDB	utf8mb4_unicode_ci
syllabus_suggestions	5	0.03	InnoDB	utf8mb4_unicode_ci
lesson_plans	5	0.16	InnoDB	utf8mb4_unicode_ci
lessons	4	0.08	InnoDB	utf8mb4_unicode_ci
school_subject_mapping	4	0.09	InnoDB	utf8mb4_general_ci
assignments	3	0.20	InnoDB	utf8mb4_unicode_ci
lesson_time_table_backup	3	0.02	InnoDB	utf8mb4_unicode_ci
assignment_questions	2	0.05	InnoDB	utf8mb4_unicode_ci
assignment_question_options	0	0.03	InnoDB	utf8mb4_unicode_ci
lesson_plan_reviews	0	0.08	InnoDB	utf8mb4_unicode_ci
recitations	0	0.05	InnoDB	utf8mb4_unicode_ci
subject_streams	0	0.02	InnoDB	utf8mb4_unicode_ci
lesson_notes	0	0.09	InnoDB	utf8mb4_unicode_ci
recitation_replies	0	0.17	InnoDB	utf8mb4_unicode_ci
virtual_classroom_chat_messages	0	0.11	InnoDB	utf8mb4_unicode_ci
assignment_responses	0	0.05	InnoDB	utf8mb4_unicode_ci
lesson_comments	0	0.02	InnoDB	utf8mb4_unicode_ci
recitation_feedbacks	0	0.13	InnoDB	utf8mb4_unicode_ci
student_assignments	0	0.02	InnoDB	utf8mb4_unicode_ci
virtual_classroom_attendance	0	0.09	InnoDB	utf8mb4_unicode_ci
virtual_classroom_recordings	0	0.09	InnoDB	utf8mb4_unicode_ci
knowledge_domains_enhanced	0	0.11	InnoDB	utf8mb4_unicode_ci
