table	column	constraint	references_table	references_column
assignment_question_options	question_id	assignment_question_options_ibfk_1	assignment_questions	id
assignment_responses	assignment_id	assignment_responses_ibfk_1	assignments	id
assignment_responses	question_id	assignment_responses_ibfk_2	assignment_questions	id
knowledge_domains_enhanced	grading_system_id	knowledge_domains_enhanced_ibfk_1	grading_systems	id
lesson_notes	lesson_plan_id	lesson_notes_ibfk_1	lesson_plans	id
lesson_notes	created_by	lesson_notes_ibfk_2	teachers	id
lesson_plans	teacher_id	lesson_plans_ibfk_1	teachers	id
recitation_feedbacks	reply_id	recitation_feedbacks_ibfk_1	recitation_replies	id
recitation_replies	recitation_id	recitation_replies_ibfk_1	recitations	id
school_subject_mapping	mapped_by	school_subject_mapping_ibfk_1	teachers	id
school_subject_mapping	approved_by	school_subject_mapping_ibfk_2	teachers	id
syllabus_tracker	syllabus_id	syllabus_tracker_ibfk_1	syllabus	id
